"feature","chi2","p","n_target","n_reference","direction"
"faul",-0.0336636244614485,0.854424159462371,4,11,"Right-leaning"
"abgehoben",-0.0424796111452783,0.836708248677798,2,5,"Right-leaning"
"ausbildung",-0.0424796111452783,0.836708248677798,2,5,"Right-leaning"
"konsum",-0.0424796111452783,0.836708248677798,2,5,"Right-leaning"
"sehen",-0.0424796111452783,0.836708248677798,2,5,"Right-leaning"
"eigenen",-0.081177066166627,0.775708579453556,2,7,"Right-leaning"
"staat",-0.081177066166627,0.775708579453556,2,7,"Right-leaning"
"aggressiv",-0.0953008342860683,0.757543405145604,1,3,"Right-leaning"
"ansichten",-0.0953008342860683,0.757543405145604,1,3,"Right-leaning"
"arm",-0.0953008342860683,0.757543405145604,1,3,"Right-leaning"
"besser",-0.0953008342860683,0.757543405145604,1,3,"Right-leaning"
"dafür",-0.0953008342860683,0.757543405145604,1,3,"Right-leaning"
"familien",-0.0953008342860683,0.757543405145604,1,3,"Right-leaning"
"gibt",-0.0953008342860683,0.757543405145604,1,3,"Right-leaning"
"grosse",-0.0953008342860683,0.757543405145604,1,3,"Right-leaning"
"lebensweise",-0.0953008342860683,0.757543405145604,1,3,"Right-leaning"
