"feature","chi2","p","n_target","n_reference","direction"
"studium",-0.00714267092912719,0.932647514831703,1,4,"Right-leaning"
"vielen",-0.00714267092912719,0.932647514831703,1,4,"Right-leaning"
"weiterbildung",-0.00714267092912719,0.932647514831703,1,4,"Right-leaning"
"gegenüber",-0.0143133523324863,0.904769580909235,3,7,"Right-leaning"
"kultur",-0.0143133523324863,0.904769580909235,3,7,"Right-leaning"
"sparsam",-0.0143133523324863,0.904769580909235,3,7,"Right-leaning"
"normale",-0.0215122093012809,0.883392175019284,4,11,"Right-leaning"
"viele",-0.0328836393466819,0.856101914785995,2,5,"Right-leaning"
"offene",-0.0434623012156226,0.834857210373403,5,12,"Right-leaning"
"ehrliche",-0.0844204888808054,0.771393943512552,1,3,"Right-leaning"
"eigenständig",-0.0844204888808054,0.771393943512552,1,3,"Right-leaning"
"gehobener",-0.0844204888808054,0.771393943512552,1,3,"Right-leaning"
"gesellig",-0.0844204888808054,0.771393943512552,1,3,"Right-leaning"
"gesunder",-0.0844204888808054,0.771393943512552,1,3,"Right-leaning"
"interessant",-0.0844204888808054,0.771393943512552,1,3,"Right-leaning"
"jahre",-0.0844204888808054,0.771393943512552,1,3,"Right-leaning"
"karriere",-0.0844204888808054,0.771393943512552,1,3,"Right-leaning"
"kontakt",-0.0844204888808054,0.771393943512552,1,3,"Right-leaning"
"loyal",-0.0844204888808054,0.771393943512552,1,3,"Right-leaning"
"meinungen",-0.0844204888808054,0.771393943512552,1,3,"Right-leaning"
"mensch",-0.0844204888808054,0.771393943512552,1,3,"Right-leaning"
"normal",-0.0844204888808054,0.771393943512552,1,3,"Right-leaning"
"positiv",-0.0844204888808054,0.771393943512552,1,3,"Right-leaning"
"rücksichtsvoll",-0.0844204888808054,0.771393943512552,1,3,"Right-leaning"
"sicherheit",-0.0844204888808054,0.771393943512552,1,3,"Right-leaning"
"sport",-0.0844204888808054,0.771393943512552,1,3,"Right-leaning"
"tierlieb",-0.0844204888808054,0.771393943512552,1,3,"Right-leaning"
"trotzdem",-0.0844204888808054,0.771393943512552,1,3,"Right-leaning"
"wert",-0.0844204888808054,0.771393943512552,1,3,"Right-leaning"
"wohnen",-0.0844204888808054,0.771393943512552,1,3,"Right-leaning"
"zeit",-0.0844204888808054,0.771393943512552,1,3,"Right-leaning"
"arbeit",-0.12672989599413,0.721846985557882,1,5,"Right-leaning"
"aufgewachsen",-0.12672989599413,0.721846985557882,1,5,"Right-leaning"
"fleissig",-0.12672989599413,0.721846985557882,1,5,"Right-leaning"
"stehen",-0.12672989599413,0.721846985557882,1,5,"Right-leaning"
"vielseitig",-0.12672989599413,0.721846985557882,1,5,"Right-leaning"
"weniger",-0.12672989599413,0.721846985557882,1,5,"Right-leaning"
"meinung",-0.205972342684325,0.649942724697921,6,16,"Right-leaning"
"30",-0.315625006143471,0.57424879527066,0,3,"Right-leaning"
"ab",-0.315625006143471,0.57424879527066,0,3,"Right-leaning"
"ausgeglichen",-0.315625006143471,0.57424879527066,0,3,"Right-leaning"
"berufe",-0.315625006143471,0.57424879527066,0,3,"Right-leaning"
"direkt",-0.315625006143471,0.57424879527066,0,3,"Right-leaning"
"diskutieren",-0.315625006143471,0.57424879527066,0,3,"Right-leaning"
"egal",-0.315625006143471,0.57424879527066,0,3,"Right-leaning"
"essen",-0.315625006143471,0.57424879527066,0,3,"Right-leaning"
"fleissige",-0.315625006143471,0.57424879527066,0,3,"Right-leaning"
"genau",-0.315625006143471,0.57424879527066,0,3,"Right-leaning"
"gewissenhaft",-0.315625006143471,0.57424879527066,0,3,"Right-leaning"
"glaube",-0.315625006143471,0.57424879527066,0,3,"Right-leaning"
"gleichem",-0.315625006143471,0.57424879527066,0,3,"Right-leaning"
"gleichen",-0.315625006143471,0.57424879527066,0,3,"Right-leaning"
"hilfsbereite",-0.315625006143471,0.57424879527066,0,3,"Right-leaning"
"hochschulabschluss",-0.315625006143471,0.57424879527066,0,3,"Right-leaning"
"kader",-0.315625006143471,0.57424879527066,0,3,"Right-leaning"
"korrekt",-0.315625006143471,0.57424879527066,0,3,"Right-leaning"
"lebend",-0.315625006143471,0.57424879527066,0,3,"Right-leaning"
"ländlich",-0.315625006143471,0.57424879527066,0,3,"Right-leaning"
"mittleres",-0.315625006143471,0.57424879527066,0,3,"Right-leaning"
"naturverbundene",-0.315625006143471,0.57424879527066,0,3,"Right-leaning"
"neuem",-0.315625006143471,0.57424879527066,0,3,"Right-leaning"
"nie",-0.315625006143471,0.57424879527066,0,3,"Right-leaning"
"pflichtbewusst",-0.315625006143471,0.57424879527066,0,3,"Right-leaning"
"pünktlich",-0.315625006143471,0.57424879527066,0,3,"Right-leaning"
"reisen",-0.315625006143471,0.57424879527066,0,3,"Right-leaning"
"relativ",-0.315625006143471,0.57424879527066,0,3,"Right-leaning"
"ruhe",-0.315625006143471,0.57424879527066,0,3,"Right-leaning"
"spass",-0.315625006143471,0.57424879527066,0,3,"Right-leaning"
"städter",-0.315625006143471,0.57424879527066,0,3,"Right-leaning"
"sympathische",-0.315625006143471,0.57424879527066,0,3,"Right-leaning"
"tolerante",-0.315625006143471,0.57424879527066,0,3,"Right-leaning"
"umgang",-0.315625006143471,0.57424879527066,0,3,"Right-leaning"
"verantwortungsbewusst",-0.315625006143471,0.57424879527066,0,3,"Right-leaning"
"verantwortungsvoll",-0.315625006143471,0.57424879527066,0,3,"Right-leaning"
"verbringen",-0.315625006143471,0.57424879527066,0,3,"Right-leaning"
"verheiratet",-0.315625006143471,0.57424879527066,0,3,"Right-leaning"
