"feature","chi2","p","n_target","n_reference","direction"
"wellenlänge",0.221278393921485,0.638067568041572,2,1,"new left"
"ziemlich",0.221278393921485,0.638067568041572,2,1,"new left"
"ansichten",0.141502779604476,0.70679159312251,3,1,"new left"
"aufgestellt",0.141502779604476,0.70679159312251,3,1,"new left"
"bescheidene",0.141502779604476,0.70679159312251,3,1,"new left"
"empathisch",0.141502779604476,0.70679159312251,3,1,"new left"
"erwerbstätig",0.141502779604476,0.70679159312251,3,1,"new left"
"familienmenschen",0.141502779604476,0.70679159312251,3,1,"new left"
"frage",0.141502779604476,0.70679159312251,3,1,"new left"
"intelligente",0.141502779604476,0.70679159312251,3,1,"new left"
"manchmal",0.141502779604476,0.70679159312251,3,1,"new left"
"naturbewusst",0.141502779604476,0.70679159312251,3,1,"new left"
"religion",0.141502779604476,0.70679159312251,3,1,"new left"
"sorge",0.141502779604476,0.70679159312251,3,1,"new left"
"studierte",0.141502779604476,0.70679159312251,3,1,"new left"
"tragen",0.141502779604476,0.70679159312251,3,1,"new left"
"weltgeschehen",0.141502779604476,0.70679159312251,3,1,"new left"
"zurückhaltend",0.141502779604476,0.70679159312251,3,1,"new left"
"beruf",0.0951923411960058,0.757677127777833,3,2,"new left"
"daher",0.0951923411960058,0.757677127777833,3,2,"new left"
"denke",0.0951923411960058,0.757677127777833,3,2,"new left"
"durchschnittsbürger",0.0951923411960058,0.757677127777833,3,2,"new left"
"gearbeitet",0.0951923411960058,0.757677127777833,3,2,"new left"
"grosszügig",0.0951923411960058,0.757677127777833,3,2,"new left"
"lebens",0.0951923411960058,0.757677127777833,3,2,"new left"
"menschlich",0.0951923411960058,0.757677127777833,3,2,"new left"
"politische",0.0951923411960058,0.757677127777833,3,2,"new left"
"regeln",0.0951923411960058,0.757677127777833,3,2,"new left"
"reisen",0.0951923411960058,0.757677127777833,3,2,"new left"
"schwer",0.0951923411960058,0.757677127777833,3,2,"new left"
"situation",0.0951923411960058,0.757677127777833,3,2,"new left"
"umweltbewusste",0.0951923411960058,0.757677127777833,3,2,"new left"
"vorstellungen",0.0951923411960058,0.757677127777833,3,2,"new left"
"welt",0.0951923411960058,0.757677127777833,3,2,"new left"
"wissen",0.0951923411960058,0.757677127777833,3,2,"new left"
"einsetzen",0.0656153395028223,0.797831221495916,4,2,"new left"
"etc",0.0656153395028223,0.797831221495916,4,2,"new left"
"geniessen",0.0656153395028223,0.797831221495916,4,2,"new left"
"gerecht",0.0656153395028223,0.797831221495916,4,2,"new left"
"höflich",0.0656153395028223,0.797831221495916,4,2,"new left"
"sagen",0.0656153395028223,0.797831221495916,4,2,"new left"
"sport",0.0656153395028223,0.797831221495916,4,2,"new left"
"wert",0.0656153395028223,0.797831221495916,4,2,"new left"
"denen",0.0456010297919059,0.830902691959251,4,3,"new left"
"lustig",0.0456010297919059,0.830902691959251,4,3,"new left"
"reisefreudig",0.0456010297919059,0.830902691959251,4,3,"new left"
"mitte",0.0431097653484552,0.835518727304678,10,8,"new left"
"finanziell",0.0315640402534328,0.858987868566641,5,3,"new left"
"stadt",0.0315640402534328,0.858987868566641,5,3,"new left"
"zeit",0.0315640402534328,0.858987868566641,5,3,"new left"
"ähnlich",0.0315640402534328,0.858987868566641,5,3,"new left"
"arbeit",0.0215124981550954,0.883391397747577,5,4,"new left"
"gesellschaft",0.0215124981550954,0.883391397747577,5,4,"new left"
"interessen",0.0215124981550954,0.883391397747577,5,4,"new left"
"kultur",0.0215124981550954,0.883391397747577,5,4,"new left"
"ähnliche",0.0215124981550954,0.883391397747577,5,4,"new left"
"handwerker",0.00901985416479218,0.92433634210538,6,5,"new left"
"gebildete",0.00277429865836137,0.957993558355412,7,6,"new left"
"natur",-0.000214687322605699,0.988309644393842,9,8,"new left"
"meinungen",-0.00181411747639037,0.966026407699762,10,9,"new left"
"ab",-0.0117209220835782,0.91378690724263,1,2,"far right"
"anstand",-0.0117209220835782,0.91378690724263,1,2,"far right"
